	K	O	M	H
P_mariniana_Kokee2	20	2	10	1
P_mariniana_Oahu	10	11	10	10
P_mariniana_MauiNui	10	10	13	10
P_hawaiiensis_Makaopuhi	10	10	10	15
P_wawraeDL7428	11	10	10	10
P_kaduana_PuuKukuiAS	10	10	11	10
P_mauiensis_PepeAS	10	10	11	10
P_hawaiiensis_WaikamoiL1	10	10	11	10
P_mauiensis_Eke	10	10	11	10
P_fauriei2	10	11	10	10
P_hathewayi_1	10	11	10	10
P_kaduana_HawaiiLoa	10	11	10	10
P_greenwelliae07	11	10	10	10
P_greenwelliae907	11	10	10	10
P_grandiflora_Kal2	11	10	10	10
P_hobdyi_Kuia	11	10	10	10
P_hexandra_K1	11	10	10	10
P_hexandra_M	11	10	10	10
P_hexandra_Oahu	10	11	10	10
